Nome do Autor1;Nome do Autor2;Ano;Título da Produção;Subtipo da Produção;Linha de Pesquisa;Categoria
SILVAR FERREIRA RIBEIRO;SONIA MARIA DA CONCEICAO PINTO;2013;REA NA UNIVERSIDADE ABERTA DO BRASIL;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
SILVAR FERREIRA RIBEIRO;SILVAR FERREIRA RIBEIRO;2013;REA NA UNIVERSIDADE ABERTA DO BRASIL LIMITES E PERSPECTIVAS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
FRANCISCO JOSE ARAGAO PEDROZA CUNHA;HERNANE BORGES DE BARROS PEREIRA;2013;RECORDS MANAGEMENT A BASIS FOR ORGANIZATIONAL LEARNING AND INNOVATION;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
FRANCISCO JOSE ARAGAO PEDROZA CUNHA;NUBIA MOURA RIBEIRO;2013;RECORDS MANAGEMENT A BASIS FOR ORGANIZATIONAL LEARNING AND INNOVATION;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
HERNANE BORGES DE BARROS PEREIRA;NUBIA MOURA RIBEIRO;2013;RECORDS MANAGEMENT A BASIS FOR ORGANIZATIONAL LEARNING AND INNOVATION;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2013;REDES DE INDÚSTRIAS DE AUTOPEÇAS ASPECTOS DAS EXPORTAÇÕES NACIONAIS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
HERNANE BORGES DE BARROS PEREIRA;MARCOS GRILO ROSA;2013;REDES DE TÍTULOS DE ARTIGOS CIENTÍFICOS VARIÁVEIS NO TEMPO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
HERNANE BORGES DE BARROS PEREIRA;HERNANE BORGES DE BARROS PEREIRA;2013;REDES SOCIAIS E COMPLEXAS APLICAÇÕES EM DIFUSÃO DO CONHECIMENTO;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2013;REFLEXÕES SOBRE A EXTERIORIZAÇÃO DA EXPERIÊNCIA FORMATIVA VIA DIÁRIOS ONLINE EM CONTEXTOS MULTIRREFERENCIAIS DE PESQUISA FORMAÇÃO;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
FRANCISCA DE PAULA S DA SILVA;ISABELLE PEDREIRA DEJARDIN;2013;REFLEXÕES SOBRE A IMPORTÂNCIA DA INVESTIGAÇÃO HISTÓRICA PARA O ECOTURISMO E O TURISMO DE BASE COMUNITÁRIA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
FRANCISCA DE PAULA S DA SILVA;LUCIANA CONCEICAO DE ALMEIDA MARTINS;2013;REFLEXÕES SOBRE A IMPORTÂNCIA DA INVESTIGAÇÃO HISTÓRICA PARA O ECOTURISMO E O TURISMO DE BASE COMUNITÁRIA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
ISABELLE PEDREIRA DEJARDIN;LUCIANA CONCEICAO DE ALMEIDA MARTINS;2013;REFLEXÕES SOBRE A IMPORTÂNCIA DA INVESTIGAÇÃO HISTÓRICA PARA O ECOTURISMO E O TURISMO DE BASE COMUNITÁRIA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
ANDRE LUIZ LEITE FERREIRA;NUBIA MOURA RIBEIRO;2013;REFLEXÕES SOBRE CULTURAS ORGANIZACIONAIS;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
JOSE MARIA BARROSO TRISTAN;JOSE MARIA BARROSO TRISTAN;2013;REFUGIADOS EDUCATIVOS;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
DANTE AUGUSTO GALEFFI;DANTE AUGUSTO GALEFFI;2013;RELIGIÃO E CIÊNCIA DIFERENÇA E REPETIÇÃO - UMA INVESTIGAÇÃO A PARTIR DA CONCEPÇÃO MORAL E RELIGIOSA DE HENRI BERGSON;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
HILDENISE FERREIRA NOVO;HILDENISE FERREIRA NOVO;2013;REPRESENTAÇÃO DO CONHECIMENTO OU REPRESENTAÇÃO CONCEITUAL? UMA INESTIGAÇÃO NO ÂMBITO DA CIÊNCIA DA INFORMAÇÃO E DA FILOSOFIA NAS CONSIDERAÇÕES DE DELEUZE E GUATARRI;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
JOSE MARIA BARROSO TRISTAN;JOSE MARIA BARROSO TRISTAN;2013;SALUD PARA LA EDUCACIÓN;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;SALVADOR É ASSIM;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;2013;SAÚDE BUCAL NO PROGRAMA SAÚDE DA FAMÍLIA NA BAHIA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;SEXUALIDADES E DIREITOS HUMANOS NA TESSITURA DO ESTADO UMA EXPERIÊNCIA ANTROPOLÓGICA SOBRE SEXUALIDADES NA LÓGICA ESTATAL DA BAHIA ;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;CLAUDIA RIBEIRO SANTOS LOPES;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;HERNANE BORGES DE BARROS PEREIRA;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;MARCOS GRILO ROSA;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;MARIA TERESINHA TAMANINI;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;HERNANE BORGES DE BARROS PEREIRA;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;MARCOS GRILO ROSA;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;MARIA TERESINHA TAMANINI;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
HERNANE BORGES DE BARROS PEREIRA;MARCOS GRILO ROSA;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
HERNANE BORGES DE BARROS PEREIRA;MARIA TERESINHA TAMANINI;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
MARCOS GRILO ROSA;MARIA TERESINHA TAMANINI;2013;SIGNIFICADO DE CORRESIDÊNCIA A PARTIR DA ANÁLISE DE UMA  REDE SOCIAL DE IDOSOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2013;SIGNOS E CÓDIGOS VISUAIS DA FÔRMA DE CALÇADOS UMA LEITURA ERGONÔMICA DOS PINOS DE COR;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
CLAUDIA PINTO PEREIRA SENA;HERNANE BORGES DE BARROS PEREIRA;2013;SISTEMA DE REPRESENTAÇÃO DE CONHECIMENTO PARA PESSOAS COM DEFICIÊNCIA VISUAL ETAPAS INICIAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA PINTO PEREIRA SENA;TRAZIBULO HENRIQUE PARDO CASAS;2013;SISTEMA DE REPRESENTAÇÃO DE CONHECIMENTO PARA PESSOAS COM DEFICIÊNCIA VISUAL ETAPAS INICIAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
HERNANE BORGES DE BARROS PEREIRA;TRAZIBULO HENRIQUE PARDO CASAS;2013;SISTEMA DE REPRESENTAÇÃO DE CONHECIMENTO PARA PESSOAS COM DEFICIÊNCIA VISUAL ETAPAS INICIAIS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2013;SOCIOPOÉTICA - REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM LITERATURA E INTERCULTURALIDADE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
ISABELLE PEDREIRA DEJARDIN;ISABELLE PEDREIRA DEJARDIN;2013;SUSTENTABILIDADE DESENVOLVIMENTO SUSTENTÁVEL E OS DESAFIOS SOCIOAMBIENTAIS DA CONTEMPORANEIDADE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ALFREDO EURICO RODRIGUES MATTA;ALFREDO EURICO RODRIGUES MATTA;2013;TECNOLOGIA DIGITAL COLABORATIVA E TURISMO DE BASE COMUNITÁRIA O PORTAL DO TBC CABULA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JUREMA LINDOTE BOTELHO PEIXOTO;JUREMA LINDOTE BOTELHO PEIXOTO;2013;TECNOLOGIAS DIGITAIS E A EDUCAÇÃO MATEMÁTICA DE SURDOS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
FELIX MARCIAL DIAZ RODRIGUEZ;FELIX MARCIAL DIAZ RODRIGUEZ;2013;TECNOPLOGIASDIGITAIS E EDUCAÇÃO MATEMÁTICA DE SURDOS;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;CLAUDIA RIBEIRO SANTOS LOPES;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;ELIANE SANTOS SOUZA;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA AUREA ALECIO DE OLIVEIRA RODRIGUES;HERNANE BORGES DE BARROS PEREIRA;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;ELIANE SANTOS SOUZA;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
CLAUDIA RIBEIRO SANTOS LOPES;HERNANE BORGES DE BARROS PEREIRA;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ELIANE SANTOS SOUZA;HERNANE BORGES DE BARROS PEREIRA;2013;TEORIA DE REDES E ANÁLISE DE DOCUMENTOS ANÁLISE DAS ATIVIDADES DESENVOLVIDAS E DA INTERAÇÃO ENTRE OS ATORES NO PROGRAMA DE EDUCAÇÃO PELO TRABALHO PARA A SAÚDE;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
MARCIA FIGUEREDO D SOUZA;MARCIA FIGUEREDO D SOUZA;2013;TERCEIRIZAÇÃO E PESQUISA CONTÁBIL OPORTUNIDADES FECUNDAS MAS POUCO EXPLORADAS;TRABALHO EM ANAIS;;Discente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;TEREZA BATISTA ENTRE MITOS E LUTAS EIS A FILHA DE IANSÃ;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
ROBERTO SIDNEI ALVES MACEDO;ROBERTO SIDNEI ALVES MACEDO;2013;THE CHALLENGE OF INVOLVEMENT IN TEACHER EDUCATION THE PERCEPTIONS OF UNIVERSITY TEACHERS OF SCIENTIFIC DISCIPLINES IN BIOLOGICAL SCIENCES UNDERGRADUATES WITH NEW CURRICULUM PROPOSALS LINKING THEORY AND PROFESSIONAL PRACTICE IN BAHIA BRAZIL;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2013;THE PLANETARY CYBERNETIC INTELLIGENCE A TRANSHUMANIST AND TRANSCULTURAL DEMOCRATIC TERRITORY.;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
GUSTAVO BITTENCOURT MACHADO;GUSTAVO BITTENCOURT MACHADO;2013;TIPOLOGIA DOS SISTEMAS DE PRODUÇÃO COM ÊNFASE NA APICULTURA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2013;TRANSDISCIPLINARY EDUCATION AS ETHIC OF THE DIVERSITY REFORM IN THE WORLD-SOCIETY OF THE 21ST CENTURY;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
FRANCISCA DE PAULA S DA SILVA;HELAINE PEREIRA DE SOUZA;2013;TURISMO DE BASE COMUNITÁRIA E COOPERATIVISMO ARTICULANDO PESQUISA ENSINO E EXTENSÃO NO CABULA E ENTORNO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
FRANCISCA DE PAULA S DA SILVA;LUCIANA CONCEICAO DE ALMEIDA MARTINS;2013;TURISMO DE BASE COMUNITÁRIA E COOPERATIVISMO ARTICULANDO PESQUISA ENSINO E EXTENSÃO NO CABULA E ENTORNO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
HELAINE PEREIRA DE SOUZA;LUCIANA CONCEICAO DE ALMEIDA MARTINS;2013;TURISMO DE BASE COMUNITÁRIA E COOPERATIVISMO ARTICULANDO PESQUISA ENSINO E EXTENSÃO NO CABULA E ENTORNO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JAVIER COLLADO RUANO;JAVIER COLLADO RUANO;2013;UBUNTU COSMIC ENERGY THE ETHICAL BASIS FOR FUTURE WORLDISTS.;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
TEREZA KELLY GOMES CARNEIRO;TEREZA KELLY GOMES CARNEIRO;2013;U-LEARNING PEDAGOGICAL MANAGEMENT COGNITIVE PROCESSES AND HYPERMEDIATIC RESOURCES INVOLVED IN WEB-BASED COLLABORATIVE WORKSPACE;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANA CELESTE DA CRUZ DAVID;ANA CELESTE DA CRUZ DAVID;2013;UM OLHAR PEDAGÓGICO SOBRE A EXPERIÊNCIA DA INCUBADORA TECNOLÓGICA DE COOPERATIVAS POPULARES- ITCP/UNEB.;LIVRO;;Discente
AUGUSTO CESAR NORONHA RODRIGUES GALEAO;LUIZ BEVILACQUA;2013;UMA PRIMEIRA ABORDAGEM PARA O PROBLEMA INVERSO DO MODELO DE DIFUSÃO COM RETENÇÃO;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
ERICA DE SOUSA CHECCUCCI;ERICA DE SOUSA CHECCUCCI;2013;UMA VISÃO DA DIFUSÃO E APROPRIAÇÃO DO PARADIGMA BIM NO BRASIL TIC;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
ANTONIO CLODOALDO DE ALMEIDA NETO;ANTONIO CLODOALDO DE ALMEIDA NETO;2013;UMA VISÃO SISTÊMICA DA REDE FEDERAL DE EDUCAÇÃO PROFISSIONAL CIENTÍFICA E TECNOLÓGICA (RFEPCT) A PARTIR DE INDICADORES DE GESTÃO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
ANTONIO CLODOALDO DE ALMEIDA NETO;ANTONIO CLODOALDO DE ALMEIDA NETO;2013;USO DE MODELOS DE REPRESENTAÇÃO DO CONHECIMENTO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
RENELSON RIBEIRO SAMPAIO;RENELSON RIBEIRO SAMPAIO;2013;USO DO ESPAÇO “BA” PARA RESOLUÇÃO DE UM PROBLEMA DE MANUTENÇÃO CRÔNICO EM UMA EMPRESA DE PETRÓLEO E GÁS NA REGIÃO DA BAHIA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2013;VAMOS ABRIR A RODA;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
CLAUDIA PINTO PEREIRA SENA;CLAUDIA PINTO PEREIRA SENA;2013;VANTAGENS E LIMITAÇÕES DO USO DE UM SOFTWARE DE SÍNTESE DE VOZ PARA PESSOAS COM DEFICIÊNCIA VISUAL DURANTE AS SESSÕES TUTORIAIS DA APRENDIZAGEM BASEADA EM PROBLEMAS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Discente
PEDRO JAVIER GOMEZ JAIME;PEDRO JAVIER GOMEZ JAIME;2013;WHAT HIDES BEHIND THE LISTENER HARMONIC CONTRIBUTION TO TIMBRE;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
ISABELLE PEDREIRA DEJARDIN;JUREMA LINDOTE BOTELHO PEIXOTO;2013;ZONA DE DESENVOLVIMENTO PROXIMAL (ZDP) NUMA PERSPECTIVA SEMIÓTICA ANÁLISE DA ATIVIDADE MATEMÁTICA DE UM ALUNO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
CARLA RENATA SANTOS DOS SANTOS;LELIANA SANTOS DE SOUSA;2014; SABERES E PRÁTICAS EDUCAÇÃO E DESENVOLVIMENTO REGIONAL;LIVRO;;Discente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2014;10 DE DEZEMBRO (HUMAN RIGHT DAY) SESSENTA E SEIS ANOS DA PROMULGAÇÃO DA DECLARAÇÃO UNIVERSAL DOS DIREITOS HUMANOS   DIA DE REFLEXÃO EM DEFESA DA VIDA E DA DIGINIDADE HUMANA   CONTRA O PRECONCEITO INTOLERÂNCIA VIOLÊNCIA E IMPUNIDADE;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
JOSE CLAUDIO ROCHA;JOSE CLAUDIO ROCHA;2014;10 DE DEZEMBRO (HUMAN RIGHT DAY) SESSENTA E SEIS ANOS DA PROMULGAÇÃO DA DECLARAÇÃO UNIVERSAL DOS DIREITOS HUMANOS ? DIA DE REFLEXÃO EM DEFESA DA VIDA E DA DIGINIDADE HUMANA ? CONTRA O PRECONCEITO INTOLERÂNCIA VIOLÊNCIA E IMPUNIDADE;ARTIGO EM PERIÓDICO;;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2014;102 ANOS DE JORGE AMADO;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2014;A BAIANIDADE E O  CACETE ARMADO  UM ESTUDO SOBRE OS/AS MICROEMPREENDEDORES DA REGIÃO METROPOLITANA DE SALVADOR;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2014;A BAIANIDADE E O ?CACETE ARMADO? UM ESTUDO SOBRE OS/AS MICROEMPREENDEDORES DA REGIÃO METROPOLITANA DE SALVADOR;TRABALHO EM ANAIS;;Docente
HERNANE BORGES DE BARROS PEREIRA;NUBIA MOURA RIBEIRO;2014;A COLABORAÇÃO EM COMUNIDADES CIENTÍFICAS INTERDISCIPLINARES ANÁLISE DE PROJETOS DE PESQUISA COM AUXÍLIO DA TEORIA DE REDES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
SUELY ALDIR MESSEDER;SUELY ALDIR MESSEDER;2014;A CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO BLASFÊMICO OU PARA ALÉM DISTO NOS ESTUDOS DE SEXUALIDADES E GÊNERO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
GILDECI DE OLIVEIRA LEITE;GILDECI DE OLIVEIRA LEITE;2014;A COPA DAS COPAS E OS BABAS;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
DANTE AUGUSTO GALEFFI;DANTE AUGUSTO GALEFFI;2014;A EMERGÊNCIA TRIÉTICA PLANETÁRIA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
HERNANE BORGES DE BARROS PEREIRA;MARCOS GRILO ROSA;2014;A EVOLUÇÃO DA COLABORAÇÃO EM UMA COMUNIDADE CIENTÍFICA;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
