No;Ano;Título da Produção;Nome do Autor;Subtipo da Produção;Linha de Pesquisa;Categoria
515;2014;DESAFIOS AOS MARCOS LEGAIS NO BRASIL A ECONOMIA E AS INDÚSTRIAS CRIATIVAS NO BRASIL COMO POLO DE DESENVOLVIMENTO HUMANO ECONÔMICO SOCIAL E SUSTENTÁVEL NO BRASIL;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
588;2014;DESAFIOS DA GESTÃO ESCOLAR CONTRIBUIÇÕES PARA O DEBATE NO CONTEXTO DA UNIVERSIDADE FEDERAL DA BAHIA;JOSE WELLINGTON MARINHO DE ARAGAO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
757;2014;DESAFIOS DA GESTÃO ESCOLAR CONTRIBUIÇÕES PARA O DEBATE NO CONTEXTO DA UNIVERSIDADE FEDERAL DA BAHIA;RONALDO FIGUEIREDO VENAS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
516;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVA‡ƒO EM EDUCA‡ƒO DO S‰CULO XXI;ALFREDO EURICO RODRIGUES MATTA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
517;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVA‡ƒO EM EDUCA‡ƒO DO S‰CULO XXI;EDIVALDO MACHADO BOAVENTURA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
518;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVA‡ƒO EM EDUCA‡ƒO DO S‰CULO XXI;FRANCISCA DE PAULA S DA SILVA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
522;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;ALFREDO EURICO RODRIGUES MATTA;ARTIGO EM PERIÓDICO;;Docente
523;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;EDIVALDO MACHADO BOAVENTURA;ARTIGO EM PERIÓDICO;;Participante Externo
524;2014;DESIGN-BASED RESEARCH OU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;FRANCISCA DE PAULA S DA SILVA;ARTIGO EM PERIÓDICO;;Docente
529;2014;DESIGN-BASED RESEARCHOU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;ALFREDO EURICO RODRIGUES MATTA;ARTIGO EM PERIÓDICO;;Docente
530;2014;DESIGN-BASED RESEARCHOU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;EDIVALDO MACHADO BOAVENTURA;ARTIGO EM PERIÓDICO;;Participante Externo
532;2014;DESIGN-BASED RESEARCHOU PESQUISA DE DESENVOLVIMENTOMETODOLOGIA PARA PESQUISA METODOLOGIA PARA PESQUISA DE DESENVOLVIMENTO METODOLOGIA PARA PESQUISA APLICADA DE INOVAÇÃO EM EDUCAÇÃO DO SÉCULO XXI;FLORIANO BARBOZA SILVA;ARTIGO EM PERIÓDICO;;Discente
458;2014;DEUS E O DIABO NA TERRA DO SOL 50 ANOS;GILDECI DE OLIVEIRA LEITE;ARTIGO EM JORNAL OU REVISTA;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
533;2014;DIALOGOS DE EXPERIENCIAS SOBRE EXTENSÃO UNIVERSITARIA E TECNOLOGIA SOCIAL;MARIA DE FATIMA HENRIQUE CAMPOS;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
719;2014;DICIONÁRIO TÉCNICO INDUSTRIAL DEFINIÇÕES E APLICAÇÃO (VERSÃO DIGITAL E AMPLIADA);RENELSON RIBEIRO SAMPAIO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
410;2014;DIFICULDADES E DISTÚRBIOS DE APRENDIZAGEMCONHECIMENTO DOS PROFESSORES;Delnyze Dyanne Alves Fagundes;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
440;2014;DIFICULDADES E DISTÚRBIOS DE APRENDIZAGEMCONHECIMENTO DOS PROFESSORES;FELIX MARCIAL DIAZ RODRIGUEZ;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
785;2014;DIFICULDADES E DISTÚRBIOS DE APRENDIZAGEMCONHECIMENTO DOS PROFESSORES;Terezinha Camargo Magalhes;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
537;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;;Docente
538;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA;MARCELO ALBANO MORET SIMOES GONCALVES;ARTIGO EM PERIÓDICO;;Docente
539;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA;PATRICIA FREITAS BRAGA;ARTIGO EM PERIÓDICO;;Participante Externo
540;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA.;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
541;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA.;MARCELO ALBANO MORET SIMOES GONCALVES;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
542;2014;DIFUSÃO DO CONHECIMENTO SOB A PERSPECTIVA DA TEORIA DE REDES MAPEAMENTO DA PRODUÇÃO CIENTÍFICA A PARTIR DE UMA BASE DE PERIÓDICOS DA FÍSICA.;PATRICIA FREITAS BRAGA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Participante Externo
338;2014;DIMENSIÓN PEDAGÓGICA RASTREANDO LOS SENTIDOS DE LA EDUCACIÓN VIRTUAL;ANA CLAUDIA ROZO SANDOVAL;LIVRO;;Discente
543;2014;DIREITO A DOCUMENTAÇÃO BÁSICA - RETIFICAÇÃO EXTRAJUDICIAL DE REGISTRO DE ASSENTO CIVIL DE CASAMENTO;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
544;2014;DIREITOS HUMANOS - DIREITO A DOCUMENTAÇÃO BÁSICA - RETIFICAÇÃO EXTRAJUDICIAL DE REGISTRO DE ASSENTO CIVIL DE CASAMENTO;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
545;2014;DIREITOS HUMANOS FRENTE À DIVERSIDADE DO MUNDO CONTEMPORÂNEO UM OLHAR A PARTIR DO OBSERVATÓRIO DA EDUCAÇÃO - DIREITOS HUMANOS CIDADANIA E VIOLÊNCIA;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
546;2014;DO PAC MAN AO CANGACEIRO DE BADOGUE DESAFIOS A INDÚSTRIA CRIATIVA DE GAMES NO BRASIL;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
547;2014;DO PAC MAN AO CANGACEIRO DE BADOGUE DESAFIOS A INDÚSTRIA CRIATIVA DE GAMES NO BRASIL. JUS NAVIGANDI;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
606;2014;DO SEM ARTE À ARTE A ESTÉTICA DA FOTOGRAFIA-IMAGENS ETNICOCULTURAIS;LELIANA SANTOS DE SOUSA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
582;2014;DOCENCIA LA ÚLTIMA PREOCUPACIÓN DE LOS PROFESORES UNIVERSITARIOS;JOSE MARIA BARROSO TRISTAN;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
607;2014;DOS DIREITOS HUMANOS NO AMBITO DA CIRCUNSCRIÇÃO POLICIAL CIVIL DA BAHIA. POLITICAS E GESTÃO NO SÉCULO XXI -PERSPECTIVAS ESTRATÉGIAS E IMPACTOS NAS ESFERAS ESTATAIS;LELIANA SANTOS DE SOUSA;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
342;2014;EDUCAÇÃO SUPERIOR E DESENVOLVIMENTO HUMANO MEDIADOS PELA PRAXIS UMA EXPERIÊNCIA;ANA LICIA DE SANTANA STOPILHA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
608;2014;EDUCAÇÃO SUPERIOR E DESENVOLVIMENTO HUMANO MEDIADOS PELA PRAXIS UMA EXPERIÊNCIA;LELIANA SANTOS DE SOUSA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
720;2014;EMBRAPA E O DESENVOLVIMENTO DO AGRONEGÓCIO NO BRASIL;RENELSON RIBEIRO SAMPAIO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
437;2014;EMPREENDEDORISMO OU NECESSIDADE DE EMPREENDER O CASO DAS MULHERES TRABALHADORAS DA LOCALIDADE DE LAGOAS DAS PEDRAS NO MUNICÍPIO DE FEIRA DE SANTANA BAHIA;FABIHANA SOUZA MENDES;TRABALHO EM ANAIS;;Discente
578;2014;EN EUROPA GANAN MÁS EL DISCURSO (SUPRA)NACIONALISTA ESPAÑOL A PARTIR DE PINTADAS EN EL METRO DE MADRID;JOSE LUIS MICHINEL MACHADO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
599;2014;EN EUROPA GANAN MÁS EL DISCURSO (SUPRA)NACIONALISTA ESPAÑOL A PARTIR DE PINTADAS EN EL METRO DE MADRID;JÚLIO CÉSAR LEAL PEREIRA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Sem Categoria
344;2014;ENCRUCIJADAS Y LINEAS DE FUGA DE LA INTERACTIVIDAD;ANA MARIA CASNATI GUBERNA;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
400;2014;ENCRUCIJADAS Y LINEAS DE FUGA DE LA INTERACTIVIDAD;DANTE AUGUSTO GALEFFI;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
745;2014;ENSINAR ENQUANTO TRAVESSIA;ROBERTO SIDNEI ALVES MACEDO;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
435;2014;ENSINO-APRENDIZAGEM DE BIM NOS CURSOS DE GRADUAÇÃO EM ARQUITETURA E ENGENHARIA CIVIL;ERICA DE SOUSA CHECCUCCI;TRABALHO EM ANAIS;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
721;2014;ESCADA DO DESIGN UMA NOVA PROPOSIÇÃO;RENELSON RIBEIRO SAMPAIO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
722;2014;ESCADA DO DESIGN UMA NOVA PROPOSIÇÃO. IN IV WORKSHOP DE PESQUISA TECNOLOGIA E INOVAÇÃO (PTI);RENELSON RIBEIRO SAMPAIO;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
609;2014;ESTÉTICAS DE MARIA;LELIANA SANTOS DE SOUSA;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
623;2014;ESTÉTICAS DE MARIA;LUCIANA SANTOS DE SOUZA;LIVRO;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Sem Categoria
373;2014;ESTIMAÇÃO DE PARÂMETROS DO MODELO DE DIFUSÃO ANÔMALA ASSIMÉTRICA EMPREGANDO INFERÊNCIA BAYESIANA COM MÉTODO DE MONTE CARLO VIA CADEIA DE MARKOV;AUGUSTO CESAR NORONHA RODRIGUES GALEAO;TRABALHO EM ANAIS;;Docente
746;2014;ETNOPESQUISA IMPLICAÇÃO PERTENCIMENTO E EXPERIÊNCIA FORMATIVA;ROBERTO SIDNEI ALVES MACEDO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
549;2014;EVOLUTION BASED ON CHROMOSOME AFFINITY FROM A NETWORK PERSPECTIVE;HERNANE BORGES DE BARROS PEREIRA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
554;2014;EVOLUTION BASED ON CHROMOSOME AFFINITY FROM A NETWORK PERSPECTIVE;JOSE ROBERTO DE ARAUJO FONTOURA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
555;2014;EVOLUTION BASED ON CHROMOSOME AFFINITY FROM A NETWORK PERSPECTIVE;MARCELO ALBANO MORET SIMOES GONCALVES;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
561;2014;EVOLUTION BASED ON CHROMOSOME AFFINITY FROM A NETWORK PERSPECTIVE;TEREZA KELLY GOMES CARNEIRO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
460;2014;EXPERIÊNCIAS DOCENTES COM INOVAÇÕES DIDÁTICAS OLHARES DOS ESTUDANTES DOS CURSOS DE LICENCIATURAS DA UNIVERSIDADE ESTADUAL DE SANTA CRUZ-UESC;GILMARA DOS SANTOS OLIVEIRA VERGARA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
381;2014;FATORES DETERMINANTES PARA A FUNCIONALIDADE DE TECNOLOGIA SOCIAL NO SEMIÁRIDO O CASO DE CALDEIRÃO GRANDE E O LICURI NA BAHIA;CARLA RENATA SANTOS DOS SANTOS;LIVRO;;Discente
386;2014;FATORES DETERMINANTES PARA A FUNCIONALIDADE DE TECNOLOGIA SOCIAL NO SEMIÁRIDO O CASO DE CALDEIRÃO GRANDE E O LICURI NA BAHIA;CARLOS ALEX DE CANTUARIA CYPRIANO;LIVRO;;Participante Externo
415;2014;FATORES DETERMINANTES PARA A FUNCIONALIDADE DE TECNOLOGIA SOCIAL NO SEMIÁRIDO O CASO DE CALDEIRÃO GRANDE E O LICURI NA BAHIA;DJANE SANTIAGO DE JESUS;LIVRO;;Docente
583;2014;FEYERABEND ANARQUISMO EPISTEMOLÓGICO Y EDUCACIÓN;JOSE MARIA BARROSO TRISTAN;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
467;2014;FILIÈRES ET AGRICULTURE FAMILIALE. LES SYSTÈMES D´ACTIVITÉS ET DE PRODUCTION AGRICOLE DANS LE RECÔNCAVO DE BAHIA BRÉSIL;GUSTAVO BITTENCOURT MACHADO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
468;2014;FILIÈRES ET AGRICULTURE FAMILIALE. LES SYSTÈMES D´ACTIVITÉS ET DE PRODUCTION AGRICOLE DANS LE RECÔNCAVO DE BAHIA BRÉSIL. ISBN 978-3-8417-3864-6;GUSTAVO BITTENCOURT MACHADO;LIVRO;;Docente
345;2014;FLOR DE CEIBO (UY) ENCRUCIJADAS Y LINEAS DE FUGA DE LA INTERACTIVIDAD;ANA MARIA CASNATI GUBERNA;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
401;2014;FLOR DE CEIBO (UY) ENCRUCIJADAS Y LINEAS DE FUGA DE LA INTERACTIVIDAD;DANTE AUGUSTO GALEFFI;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
610;2014;FORMAÇÃO DE PROFESSORES E PROFESSORAS INDIGENAS REFLEXOS NO COTIDIANO ESCOLAR;LELIANA SANTOS DE SOUSA;TRABALHO EM ANAIS;;Docente
795;2014;FORMAÇÃO DE PROFESSORES E PROFESSORAS INDIGENAS REFLEXOS NO COTIDIANO ESCOLAR;VALUZA MARIA SARAIVA;TRABALHO EM ANAIS;;Discente
747;2014;FORMAÇÃO DO PROFESSOR EM EAD;ROBERTO SIDNEI ALVES MACEDO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
563;2014;FORMULAÇÃO E SOLUÇÃO DE UM PROBLEMA INVERSO DE DIFUSÃO ANÔMALA COM TÉCNICAS ESTOCÁSTICAS;AUGUSTO CESAR NORONHA RODRIGUES GALEAO;ARTIGO EM PERIÓDICO;;Docente
324;2014;GÊNERO E SEXUALIDADE NA EDUCAÇÃO INFANTIL PRÁTICAS DOCENTES DE SILENCIAMENTO E REPRESSÃO;AMANAIARA CONCEICAO DE SANTANA MIRANDA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
325;2014;GÊNERO E SEXUALIDADE NA EDUCAÇÃO INFANTIL PRÁTICAS DOCENTES DE SILENCIAMENTO E REPRESSÃO;AMANAIARA CONCEICAO DE SANTANA MIRANDA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
326;2014;GÊNERO E SEXUALIDADE QUAIS AS PRÁTICAS NA EDUCAÇÃO INFANTIL?;AMANAIARA CONCEICAO DE SANTANA MIRANDA;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Discente
438;2014;GESTÃO DE AGROINDÚSTRIAS ESTUDO DE CASO DE UMA AGROINDÚSTRIA;FABIHANA SOUZA MENDES;TRABALHO EM ANAIS;;Discente
564;2014;GESTÃO DE PESQUISA UMA PROVOCAÇÃO A PARTIR DA TECNOLOGIA ART-BTS;LYS MARIA VINHAES DANTAS;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Participante Externo
565;2014;GESTÃO DE PESQUISA UMA PROVOCAÇÃO A PARTIR DA TECNOLOGIA ART-BTS;MONICA DE AGUIAR MAC-ALLISTER DA SILVA;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Participante Externo
567;2014;GESTÃO DE PESQUISA UMA PROVOCAÇÃO A PARTIR DA TECNOLOGIA ART-BTS;NUBIA MOURA RIBEIRO;ARTIGO EM PERIÓDICO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
350;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS;ANA MARIA FERREIRA MENEZES;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
671;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS;MARIA DE FATIMA HENRIQUE CAMPOS;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
695;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS;NUBIA MOURA RIBEIRO;LIVRO;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Docente
351;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS DO MANGUE SECO EM VALENÇA (BA);ANA MARIA FERREIRA MENEZES;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
672;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS DO MANGUE SECO EM VALENÇA (BA);MARIA DE FATIMA HENRIQUE CAMPOS;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
696;2014;GESTÃO DO CONHECIMENTO E DESENVOLVIMENTO UM ESTUDO SOBRE AS MARISQUEIRAS DO MANGUE SECO EM VALENÇA (BA);NUBIA MOURA RIBEIRO;LIVRO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
673;2014;GESTÃO DOS RESIDUOS SOLIDOS URBANOS E PARCERIAS PUBLICAS-PRIVADA A EXPERIENCIA SOTEROPOLITANA;MARIA DE FATIMA HENRIQUE CAMPOS;TRABALHO EM ANAIS;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
570;2014;GESTÃO EDUCAÇÃO E DIREITOS HUMANOS VIII SEMINÁRIO DA ASSOCIAÇÃO NACIONAL DE POLÍTICA E ADMINISTRAÇÃO DA EDUCAÇÃO (ANPAE);JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
571;2014;GESTÃO TECNOLOGIAS E REDES SOCIAIS COM FOCO EM DIREITOS HUMANOS;JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
568;2014;GESTÃO UNIVERSITÁRIA E A DIMENSÃO LOCAL X GLOBAL UM OLHAR SOBRE A TEORIA DOS SÍTIOS SIMBÓLICOS DE PERTENCIMENTO (SITES SIMBOLIQUES D APPARTENANCE);JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
569;2014;GESTÃO UNIVERSITÁRIA E A DIMENSÃO LOCAL X GLOBAL UM OLHAR SOBRE A TEORIA DOS SÍTIOS SIMBÓLICOS DE PERTENCIMENTO (SITES SIMBOLIQUES D?APPARTENANCE);JOSE CLAUDIO ROCHA;ARTIGO EM PERIÓDICO;;Docente
760;2014;GINGO LOGO EXISTO;ROSANGELA COSTA ARAUJO;TRABALHO EM ANAIS;CULTURA E CONHECIMENTO TRANSVERSALIDADE INTERSECCIONALIDADE E (IN)FORMAÇÃO.;Docente
509;2014;GLOBAL CITIZENSHIP EDUCATION AN EMERGING PERSPECTIVE FOR THE SUSTAINABLE DEVELOPMENT;JAVIER COLLADO RUANO;ARTIGO EM JORNAL OU REVISTA;CONSTRUÇÃO DO CONHECIMENTO COGNIÇÃO LINGUAGENS E INFORMAÇÃO;Discente
572;2014;GRADIENTLAND SOFTWARE A LANDSCAPE CHANGE GRADIENT GENERATOR;ELAINE CRISTINA CAMBUI BARBOSA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Sem Categoria
573;2014;GRADIENTLAND SOFTWARE A LANDSCAPE CHANGE GRADIENT GENERATOR;JOSE GARCIA VIVAS MIRANDA;ARTIGO EM PERIÓDICO;DIFUSÃO DO CONHECIMENTO INFORMAÇÃO COMUNICAÇÃO E GESTÃO;Docente
